game,score,mean_reward,eps,time,loss
0,0,-92,0.9933,61,0.0
1,0,-105,0.9865999999999999,48,0.0
2,2,-76,0.9798999999999999,79,0.0
3,0,-122,0.9731999999999998,53,0.0
4,0,-103,0.9664999999999998,4,0.0
5,0,-107,0.9597999999999998,66,0.0
6,0,-101,0.9530999999999997,2,0.0
7,0,-96,0.9463999999999997,27,0.0
8,0,-96,0.9396999999999996,59,0.0
9,0,-97,0.9329999999999996,12,0.0
10,0,-117,0.9262999999999996,34,0.0
11,0,-101,0.9195999999999995,2,0.0
12,0,-101,0.9128999999999995,20,0.0
13,0,-114,0.9061999999999995,45,0.0
14,0,-105,0.8994999999999994,6,0.0
15,0,-109,0.8927999999999994,16,0.0
16,0,-102,0.8860999999999993,15,0.0
17,0,-97,0.8793999999999993,162,0.0
18,0,-104,0.8726999999999993,5,0.0
19,0,-107,0.8659999999999992,64,0.0
20,0,-101,0.8592999999999992,48,0.0
21,0,-101,0.8525999999999991,2,0.0
22,1,-90,0.8458999999999991,64,0.0
23,0,-92,0.8391999999999991,35,0.0
24,0,-90,0.832499999999999,35,0.0
25,0,-97,0.825799999999999,36,0.0
26,2,-62,0.8190999999999989,139,49.381811359950476
27,0,-101,0.8123999999999989,2,43.39141845703125
28,0,-96,0.8056999999999989,13,56.50419807434082
29,0,-99,0.7989999999999988,16,55.31479330623851
30,3,-35,0.7922999999999988,69,61.312732860020226
31,0,-102,0.7855999999999987,7,56.02791404724121
32,0,-100,0.7788999999999987,15,56.385778188705444
33,0,-102,0.7721999999999987,11,61.08724498748779
34,0,-98,0.7654999999999986,11,68.25070635477702
35,0,-112,0.7587999999999986,41,64.74003265017555
36,0,-92,0.7520999999999985,21,62.6458344893022
37,0,-93,0.7453999999999985,112,64.27895149298473
38,0,-93,0.7386999999999985,60,62.17001461591877
39,0,-98,0.7319999999999984,97,63.13220771478147
40,0,-102,0.7252999999999984,35,58.24467044406467
41,0,-104,0.7185999999999984,7,47.66372299194336
