game,score,mean_reward,eps,time,loss
0,0,-102,0.9933,9,0.0
1,0,-100,0.9865999999999999,5,0.0
2,0,-101,0.9798999999999999,2,0.0
3,0,-112,0.9731999999999998,31,0.0
4,0,-117,0.9664999999999998,40,0.0
5,0,-103,0.9597999999999998,6,0.0
6,0,-102,0.9530999999999997,7,0.0
7,0,-97,0.9463999999999997,34,0.0
8,0,-93,0.9396999999999996,12,0.0
9,0,-101,0.9329999999999996,74,0.0
10,0,-102,0.9262999999999996,21,0.0
11,0,-105,0.9195999999999995,32,0.0
12,0,-100,0.9128999999999995,1,0.0
13,0,-102,0.9061999999999995,3,0.0
14,0,-110,0.8994999999999994,17,0.0
15,0,-107,0.8927999999999994,58,0.0
16,0,-106,0.8860999999999993,81,0.0
17,1,-79,0.8793999999999993,33,0.0
18,0,-102,0.8726999999999993,79,0.0
19,1,-91,0.8659999999999992,11,0.0
20,0,-102,0.8592999999999992,7,0.0
21,0,-104,0.8525999999999991,5,0.0
22,0,-110,0.8458999999999991,51,0.0
23,0,-106,0.8391999999999991,11,0.0
24,0,-106,0.832499999999999,81,0.0
25,0,-92,0.825799999999999,43,0.0
26,0,-109,0.8190999999999989,36,0.0
27,0,-111,0.8123999999999989,40,0.0
28,0,-99,0.8056999999999989,12,0.0
29,0,-106,0.7989999999999988,11,0.0
30,0,-103,0.7922999999999988,10,0.0
31,1,-100,0.7855999999999987,22,0.0
32,0,-101,0.7788999999999987,6,0.0
33,0,-92,0.7721999999999987,75,0.0
34,0,-116,0.7654999999999986,41,0.0
35,1,-90,0.7587999999999986,84,66.16349087883444
36,0,-77,0.7520999999999985,124,75.86029949951173
37,0,-106,0.7453999999999985,19,65.98690052032471
38,0,-103,0.7386999999999985,4,63.55435028076172
39,0,-99,0.7319999999999984,8,73.91096666124132
40,0,-102,0.7252999999999984,13,73.6585715157645
41,2,-74,0.7185999999999984,97,78.89491077345245
42,0,-87,0.7118999999999983,46,74.70038580387197
43,1,-77,0.7051999999999983,73,72.868829520973
44,0,-107,0.6984999999999982,22,69.5950818269149
45,0,-94,0.6917999999999982,97,71.22209424388652
46,4,-35,0.6850999999999982,178,66.29606099901252
47,0,-87,0.6783999999999981,48,64.2955511443469
48,0,-92,0.6716999999999981,47,60.761847615242004
49,0,-109,0.664999999999998,48,65.90107353366152
50,0,-103,0.658299999999998,16,62.69202243580538
51,0,-114,0.651599999999998,67,64.89963755888097
52,2,-53,0.6448999999999979,114,62.30690151712169
53,0,-103,0.6381999999999979,4,50.20050201416016
54,0,-95,0.6314999999999978,34,64.44919978550502
55,0,-98,0.6247999999999978,121,60.71743092771436
56,0,-105,0.6180999999999978,6,51.72665296282087
57,1,-81,0.6113999999999977,23,58.17218859990438
58,1,-78,0.6046999999999977,60,58.94847854239042
59,0,-103,0.5979999999999976,40,58.595408602458676
60,0,-98,0.5912999999999976,7,55.553598403930664
61,0,-103,0.5845999999999976,4,53.18251037597656
62,0,-101,0.5778999999999975,2,35.624027252197266
63,0,-101,0.5711999999999975,2,48.37901051839193
64,0,-96,0.5644999999999974,49,61.412973403930664
65,0,-101,0.5577999999999974,4,48.3857177734375
66,2,-84,0.5510999999999974,43,65.34437881816517
67,1,-84,0.5443999999999973,18,63.373437580309414
68,0,-97,0.5376999999999973,12,59.12977600097656
69,2,-69,0.5309999999999973,92,64.60253647835025
70,0,-100,0.5242999999999972,13,62.80064746311733
71,1,-81,0.5175999999999972,63,60.29701724648476
72,6,5,0.5108999999999971,160,61.82510351098102
73,0,-106,0.5041999999999971,11,55.24923038482666
74,1,-72,0.4974999999999971,30,63.84285379225208
75,0,-93,0.4907999999999971,42,61.12623507477517
76,1,-79,0.48409999999999714,19,59.56045207977295
77,4,-25,0.47739999999999716,158,61.48569006290076
78,0,-103,0.4706999999999972,28,60.05716271236025
79,0,-87,0.4639999999999972,130,60.55075756102118
80,2,-71,0.4572999999999972,58,57.96964609825005
81,0,-101,0.4505999999999972,4,47.513650512695314
82,0,-88,0.44389999999999724,45,64.52430273138958
83,5,11,0.43719999999999726,165,60.225208879953406
84,0,-101,0.4304999999999973,2,38.64009094238281
85,0,-106,0.4237999999999973,27,58.11888701575143
86,1,-92,0.4170999999999973,18,55.13592549374229
87,1,-86,0.4103999999999973,20,53.104949133736746
88,0,-101,0.40369999999999734,2,46.79498545328776
89,2,-72,0.39699999999999736,79,57.334314012527464
90,1,-90,0.39029999999999737,16,53.36794729793773
91,2,-64,0.3835999999999974,35,57.095527436998154
92,2,-63,0.3768999999999974,42,59.416044457014216
93,2,-65,0.3701999999999974,44,59.89580764770508
94,4,-26,0.36349999999999744,65,58.415347041505754
95,0,-103,0.35679999999999745,4,57.16979064941406
96,0,-105,0.35009999999999747,6,54.06629616873605
97,7,19,0.3433999999999975,167,59.915538038526265
98,1,-94,0.3366999999999975,22,56.326553593511164
99,2,-60,0.3299999999999975,37,59.47386726580168
100,4,-19,0.32329999999999753,132,59.064967779288615
101,1,-90,0.31659999999999755,22,59.90813728000807
102,0,-109,0.30989999999999757,42,58.911235099615055
103,2,-42,0.3031999999999976,85,59.90350417203681
104,1,-78,0.2964999999999976,22,53.92906139207923
105,2,-59,0.2897999999999976,64,54.36322672917293
106,2,-74,0.28309999999999763,45,58.22316484865935
107,0,-103,0.27639999999999765,6,55.48414938790457
108,0,-101,0.26969999999999766,2,27.675020853678387
109,0,-106,0.2629999999999977,7,58.90522861480713
110,2,-77,0.2562999999999977,30,52.84320345232564
111,3,-36,0.24959999999999768,56,60.04380707991751
112,4,-27,0.24289999999999767,52,56.68062231675634
113,1,-84,0.23619999999999766,14,49.71275444030762
114,2,-62,0.22949999999999765,63,57.69633328914642
115,4,-24,0.22279999999999764,59,61.16869064966838
116,3,-64,0.21609999999999763,40,60.59350120730517
117,5,0,0.20939999999999762,88,57.29973705163163
118,6,62,0.2026999999999976,195,59.147670687461385
119,8,57,0.1959999999999976,154,56.87360133509482
120,3,-33,0.18929999999999758,57,56.61869019475476
121,2,-53,0.18259999999999757,54,55.03500879461115
122,6,39,0.17589999999999756,160,57.167070424334604
123,5,-15,0.16919999999999755,73,52.36844985549514
124,1,-76,0.16249999999999754,24,50.87831405639648
125,0,-106,0.15579999999999752,7,45.62200045585632
126,4,-27,0.1490999999999975,84,55.37534169589772
127,6,40,0.1423999999999975,121,57.357293613621444
128,6,13,0.1356999999999975,112,53.6957765258519
129,6,27,0.12899999999999748,160,53.55697102280137
130,2,-75,0.12229999999999748,16,46.16861539728501
131,4,-43,0.11559999999999748,50,50.772372862871954
132,3,-29,0.10889999999999748,95,50.342447539170585
133,1,-79,0.10219999999999749,37,52.84807175084164
134,2,-70,0.09549999999999749,23,53.58849016825358
135,0,-100,0.08879999999999749,1,22.009521484375
136,0,-105,0.0820999999999975,6,43.9691093989781
137,2,-82,0.0753999999999975,29,53.006931114196775
138,1,-101,0.0686999999999975,29,50.6268549601237
139,6,17,0.0619999999999975,112,53.55963325500488
140,0,-111,0.055299999999997504,12,48.69957469059871
141,8,26,0.048599999999997506,111,54.641071123736246
142,4,-20,0.04189999999999751,71,49.08535326851739
143,6,96,0.03519999999999751,165,51.55862788694451
144,5,-26,0.02849999999999751,76,46.48472664572976
145,4,-35,0.02179999999999751,44,45.86141615973578
146,1,-83,0.015099999999997508,13,50.17260415213449
147,0,-107,0.008399999999997507,8,42.90530565049913
148,2,-66,0.0016999999999975065,35,52.638957023620605
149,11,135,-0.005000000000002494,183,50.74985854522042
150,2,-63,0.0,26,53.17316034105089
151,8,42,0.0,103,53.89160226858579
152,2,-55,0.0,48,52.26420896880481
153,1,-79,0.0,15,37.72850465774536
154,6,18,0.0,79,52.234345650672914
155,3,-16,0.0,70,49.65037614526883
156,5,-15,0.0,61,48.81536892921694
157,4,-34,0.0,47,50.05165855089823
158,6,-16,0.0,53,52.02089175471553
159,7,45,0.0,127,51.62535651028156
160,11,93,0.0,153,49.822632449013845
161,7,58,0.0,164,49.15422154050885
162,4,1,0.0,104,46.12718890962147
163,4,-58,0.0,55,49.25166402544294
164,5,-13,0.0,65,47.703339128783256
165,1,-92,0.0,16,43.22984078351189
166,2,-52,0.0,51,47.19561415452223
167,5,12,0.0,110,50.13505344562702
168,2,-73,0.0,32,48.21510390079383
169,3,-49,0.0,55,49.13190514700754
170,4,-10,0.0,67,48.8636519908905
171,0,-98,0.0,23,50.15986474355062
172,9,38,0.0,108,46.831278337251156
173,5,-3,0.0,107,48.106783866882324
174,0,-101,0.0,14,45.40877888997396
175,1,-79,0.0,19,40.758408069610596
176,1,-76,0.0,22,44.153872946034305
177,2,-70,0.0,23,44.379119873046875
178,4,-48,0.0,49,45.13559135437012
179,4,-18,0.0,77,47.733191025562775
180,1,-66,0.0,30,47.51292148713143
181,15,270,0.0,312,47.83758799641277
182,7,61,0.0,133,47.4897425210298
183,0,-103,0.0,4,32.545832824707034
184,0,-107,0.0,8,43.48665279812283
185,2,-72,0.0,21,48.04639374126088
186,6,20,0.0,83,47.20948064894903
187,1,-66,0.0,40,45.666887957875325
188,7,43,0.0,97,46.46268861147822
189,0,-106,0.0,15,44.906153440475464
190,0,-104,0.0,37,50.08132362365723
191,14,168,0.0,193,48.86330079049179
192,11,100,0.0,134,46.877230665418836
193,12,136,0.0,175,46.251045405864716
194,8,83,0.0,134,46.24041516339337
195,1,-88,0.0,16,45.82415569529814
196,0,-115,0.0,16,44.712134417365576
197,5,-24,0.0,48,44.48428858542929
198,0,-104,0.0,5,47.87988599141439
199,5,18,0.0,104,46.857580548241025
200,0,-114,0.0,15,40.95662498474121
201,0,-111,0.0,22,41.07040272588315
202,2,-61,0.0,46,46.90337207469534
203,6,59,0.0,132,47.092643128301866
204,1,-83,0.0,43,41.60751310261813
205,3,-70,0.0,32,39.40996511054762
206,5,4,0.0,112,44.536002049403905
207,3,-37,0.0,93,43.11541425420883
208,0,-103,0.0,6,38.03572954450335
209,0,-114,0.0,15,45.674278259277344
210,0,-103,0.0,4,35.24958038330078
211,4,-31,0.0,54,44.746063821966
212,8,64,0.0,129,45.31579083662767
213,5,14,0.0,112,45.86249365004818
214,11,107,0.0,195,46.53684733838451
215,0,-103,0.0,4,36.39806976318359
216,4,-29,0.0,48,41.98074948057837
217,8,68,0.0,141,43.603924670689544
218,6,3,0.0,78,44.12077717841426
219,10,99,0.0,186,44.94315166269394
220,4,-20,0.0,67,45.31617400225471
221,11,120,0.0,216,44.905472553270755
222,5,32,0.0,170,43.28742059071859
