,game,score,mean_reward,eps,time
0,0,0,-200,0.9985000000000002,15
1,1,0,-110,0.9977000000000003,8
2,2,0,-90,0.9943000000000006,34
3,3,1,150,0.9881000000000013,62
4,4,0,-50,0.9847000000000017,34
5,5,0,-120,0.9800000000000022,47
6,6,0,-160,0.9785000000000024,15
7,7,0,-130,0.9781000000000024,4
8,8,0,-160,0.9720000000000031,61
9,9,0,-200,0.9599000000000044,121
10,10,1,-70,0.9577000000000047,22
11,11,0,-150,0.9565000000000048,12
12,12,0,-210,0.954300000000005,22
13,13,0,-100,0.9502000000000055,41
14,14,0,0,0.9483000000000057,19
15,15,0,-110,0.9479000000000057,4
16,16,0,-100,0.9476000000000058,3
17,17,0,-90,0.9468000000000059,8
18,18,0,-150,0.9446000000000061,22
19,19,1,20,0.9405000000000066,41
20,20,0,-110,0.9403000000000066,2
21,21,0,-130,0.9393000000000067,10
22,22,1,10,0.9233000000000084,160
23,23,0,-220,0.9210000000000087,23
24,24,1,20,0.9171000000000091,39
25,25,0,-100,0.9140000000000095,31
26,26,0,-120,0.9111000000000098,29
27,27,0,-110,0.9109000000000098,2
28,28,0,-100,0.9098000000000099,11
29,29,1,-90,0.9068000000000103,30
30,30,0,-180,0.9045000000000105,23
31,31,0,0,0.8988000000000111,57
32,32,0,-140,0.8943000000000116,45
33,33,0,-110,0.8937000000000117,6
34,34,0,-170,0.8905000000000121,32
35,35,0,-70,0.8889000000000122,16
36,36,1,-30,0.8765000000000136,124
37,37,0,-130,0.8719000000000141,46
38,38,0,-110,0.8709000000000142,10
39,39,0,-110,0.8687000000000145,22
40,40,0,-120,0.8682000000000145,5
41,41,0,-140,0.8677000000000146,5
42,42,1,180,0.8608000000000153,69
43,43,0,-120,0.8605000000000154,3
44,44,0,-20,0.8576000000000157,29
45,45,2,-10,0.8558000000000159,18
46,46,0,-170,0.8516000000000163,42
47,47,1,-40,0.8441000000000172,75
48,48,0,50,0.8389000000000177,52
49,49,0,-40,0.8380000000000178,9
50,50,0,-180,0.8355000000000181,25
51,51,0,-170,0.8341000000000183,14
52,52,2,30,0.8319000000000185,22
53,53,0,-160,0.8268000000000191,51
54,54,0,-190,0.8208000000000197,60
55,55,0,-20,0.8049000000000215,159
56,56,0,10,0.8031000000000217,18
57,57,0,-190,0.8015000000000219,16
58,58,0,-170,0.7995000000000221,20
59,59,0,-170,0.7941000000000227,54
60,60,0,-100,0.7940000000000227,1
61,61,0,-120,0.7937000000000227,3
62,62,0,70,0.7901000000000231,36
63,63,0,-10,0.7885000000000233,16
64,64,0,-60,0.7840000000000238,45
65,65,0,-100,0.7829000000000239,11
66,66,0,-110,0.7797000000000243,32
67,67,0,-50,0.7763000000000246,34
68,68,0,-150,0.7755000000000247,8
69,69,0,-130,0.7721000000000251,34
70,70,0,-100,0.764200000000026,79
71,71,0,-150,0.7616000000000263,26
72,72,4,370,0.7452000000000281,164
73,73,0,-90,0.7442000000000282,10
74,74,0,-120,0.7437000000000282,5
75,75,4,200,0.7320000000000295,117
76,76,0,-100,0.7317000000000295,3
77,77,0,-110,0.7315000000000296,2
78,78,0,-150,0.7307000000000297,8
79,79,1,50,0.7135000000000316,172
80,80,0,-80,0.7012000000000329,123
81,81,0,-110,0.700800000000033,4
82,82,0,-60,0.6993000000000331,15
83,83,1,100,0.6942000000000337,51
84,84,0,-130,0.6874000000000344,68
85,85,0,-130,0.6870000000000345,4
86,86,1,-30,0.6834000000000349,36
87,87,2,330,0.6754000000000357,80
88,88,0,-130,0.673400000000036,20
89,89,0,-60,0.6695000000000364,39
90,90,0,-140,0.6690000000000365,5
91,91,0,-120,0.6631000000000371,59
92,92,2,280,0.655000000000038,81
93,93,4,540,0.6309000000000407,241
94,94,0,10,0.6263000000000412,46
95,95,0,-120,0.6256000000000412,7
96,96,0,-120,0.6213000000000417,43
97,97,0,-140,0.6200000000000419,13
98,98,0,-40,0.6181000000000421,19
99,99,2,460,0.5942000000000447,239
100,100,0,-90,0.5934000000000448,8
101,101,0,-120,0.591500000000045,19
102,102,0,-130,0.591100000000045,4
103,103,0,-150,0.5901000000000451,10
104,104,4,650,0.5699000000000474,202
105,105,0,-110,0.5697000000000474,2
106,106,4,320,0.563800000000048,59
107,107,0,-80,0.5629000000000481,9
108,108,2,370,0.5531000000000492,98
109,109,0,100,0.5450000000000501,81
110,110,6,1050,0.5236000000000525,214
111,111,1,100,0.518700000000053,49
112,112,0,-90,0.5163000000000533,24
113,113,0,-120,0.5160000000000533,3
114,114,4,520,0.5063000000000544,97
115,115,0,-120,0.5060000000000544,3
116,116,2,210,0.500400000000055,56
117,117,0,-130,0.4996000000000551,8
118,118,0,-160,0.4969000000000554,27
119,119,0,-120,0.49660000000005544,3
120,120,0,-150,0.48660000000005654,100
121,121,0,-100,0.4863000000000566,3
122,122,0,-50,0.48370000000005686,26
123,123,0,30,0.4795000000000573,42
124,124,4,470,0.4651000000000589,144
125,125,4,630,0.45190000000006036,132
126,126,1,140,0.44740000000006086,45
127,127,5,500,0.43770000000006193,97
128,128,1,70,0.4345000000000623,32
129,129,0,-70,0.43130000000006263,32
130,130,1,-10,0.4297000000000628,16
131,131,1,190,0.42310000000006354,66
132,132,3,270,0.41670000000006424,64
133,133,4,870,0.4037000000000657,130
134,134,4,340,0.3908000000000671,129
135,135,3,320,0.3833000000000679,75
136,136,0,-110,0.38210000000006805,12
137,137,0,-100,0.3818000000000681,3
138,138,0,-90,0.38040000000006824,14
139,139,4,650,0.3670000000000697,134
140,140,0,-20,0.36490000000006995,21
141,141,1,150,0.3609000000000704,40
142,142,0,-130,0.35930000000007056,16
143,143,0,-150,0.35870000000007063,6
144,144,0,20,0.3570000000000708,17
145,145,0,-100,0.3569000000000708,1
146,146,4,520,0.3492000000000717,77
147,147,3,610,0.337200000000073,120
148,148,0,-150,0.33660000000007306,6
149,149,0,-80,0.33410000000007334,25
150,150,0,-60,0.3324000000000735,17
151,151,1,10,0.32940000000007386,30
152,152,6,860,0.3117000000000758,177
153,153,0,-130,0.3073000000000763,44
154,154,1,120,0.3034000000000767,39
155,155,5,660,0.291700000000078,117
156,156,0,-160,0.29060000000007813,11
157,157,6,830,0.2720000000000802,186
158,158,4,530,0.2616000000000813,104
159,159,1,50,0.25520000000008203,64
160,160,4,490,0.24780000000008284,74
161,161,6,700,0.237300000000084,105
162,162,2,120,0.2346000000000843,27
163,163,5,720,0.22590000000008525,87
