State,right,left,up,down
0.0,39.18879320539704,41.76315062472477,66.52333859241311,56.935854073513326
1.0,40.48998419830156,39.13278842792289,48.89685004638646,67.63436821110488
2.0,67.24149815955698,57.74949428866727,38.68065033081583,39.145683504436114
3.0,56.4435225039958,65.74999723013634,40.965856668388696,38.379319094950354
4.0,37.45963017542231,52.202124595374364,41.475637609716735,36.16123173528771
5.0,39.25653201958792,40.62590455836938,38.79175803946462,38.82160791493497
6.0,40.184667981539256,39.95743565007196,39.81505206251224,43.56813641997846
7.0,37.542643566410504,37.76947279812649,37.21172997809808,47.61474786404682
8.0,-61.25795110000001,-61.25795110000001,-61.25795110000001,-61.2579511
9.0,-87.84233454094309,-87.84233454094307,-87.84233454094307,-88.52425183900013
10.0,-61.2579511,-61.2579511,-61.2579511,-61.2579511
11.0,-56.953279,-54.901551312513135,-52.17031,-52.17031
12.0,-99.484622479268,-99.484622479268,-99.5320324488509,-99.52241848965866
13.0,-99.48020008504496,-99.50691351351084,-99.124223924262,-99.484622479268
14.0,-98.35767967317395,-98.24394703629135,-88.49352212252175,-98.17519963685994
15.0,-99.28966071263373,-99.2930349509849,-98.7391751976147,-99.25787623411752
16.0,-10.762386106271956,22.01627807911426,-19.0,-27.1
17.0,-13.235362407676845,16.84479213013158,-27.1,-34.39
18.0,-19.0,12.2671724801293,-6.6281173395908395,-19.0
19.0,-20.209292115388813,62.439345524739096,-52.17031,-19.93404405812739
20.0,-10.1713233753081,36.41269755673357,-74.33678947623005,-87.84233454094309
21.0,-23.56021876628234,11.21985435737557,-87.98892943268042,-86.20446230596802
22.0,-58.40894107626666,44.37353871812979,-62.25658290002162,-58.88028458024149
23.0,-42.012567770512476,-17.582992510545182,-56.953279,-40.951
24.0,25.6236184751867,-14.336844135543561,-34.39,-27.1
25.0,29.761902060138652,-15.231729550950439,-10.0,-19.0
26.0,64.09028049629923,-19.28856582741785,-52.17031,-44.608963624556324
27.0,22.73294800444303,-19.0,-10.0,-10.0
28.0,6.752039761002285,-38.215133543397506,-68.86059636091787,-79.4108867905351
29.0,18.641100118290616,9.513252695921725,-88.00079517283865,-86.36265703223289
30.0,20.992827737728916,-40.951,-61.71804663304121,-56.953279
31.0,33.54500345025377,-26.65814712749948,-54.690201789405364,-61.08473489310093
32.0,-27.1,-46.425029306334885,64.62344506362331,-11.85709777905778
33.0,-40.951,-65.13215599,23.571342995326816,-22.553034314222142
34.0,-19.0,-19.0,10.666281995537847,-4.952649812191256
35.0,-19.2454492663161,-10.0,27.141036616761156,-27.1
36.0,-56.71003704013735,-45.19609690654214,43.176145761873,-39.10457592915138
37.0,-68.61894039100001,-68.61894039100001,40.15216320531022,-30.41747776672196
38.0,-40.951,-46.8559,25.25110927433858,-50.5992463334593
39.0,-74.58134171670999,-66.54643453840583,18.459970300997224,-53.9111955715721
40.0,-0.3092929296796559,-27.1,-34.39,19.43168254110566
