State,right,left,up,down
0.0,-0.0015933967221679803,-0.0006960299388171578,0.5064741829447904,0.0008002922461178929
1.0,-0.002772111456442245,-0.0017911137001001222,0.0006212261000479947,1.160285832733853
2.0,0.6999235641977776,0.0011113703572164615,-0.0010969015907902602,-0.0011922272616337135
3.0,0.0011115622466982829,0.762798337049347,-0.002682128540589755,-0.002388430002274873
4.0,-0.0035733275543435596,0.004204180346686714,0.07165039477721256,-0.0016726515021070424
5.0,0.004017406259857246,-0.0059350061778103815,0.07118397352233995,-0.001856346189392095
6.0,-0.00469743729957475,0.0765433868006547,-0.010860955497766198,0.004629456276823149
7.0,0.106453913186833,-0.000985608831634725,-0.0024857200797738736,0.0021138583674941247
8.0,-0.08996400839874012,-0.08008402987981474,-0.08996400839874012,-0.08996400839874012
9.0,-0.040092834014765856,-0.05005446675882864,-0.04999000099995001,-0.04999000099995001
10.0,-0.06997900349965003,-0.05998500199985002,-0.05998500199985002,-0.060089674813229174
11.0,-0.06997900349965003,-0.06997900349965003,-0.05998500199985002,-0.05998500199985002
12.0,-1.0445607155481613,-1.0441519890630886,-1.0445586982941015,-1.0445221292771463
13.0,-0.9155613625985197,-0.9060544910743508,-0.9058053027853169,-0.9059171218197394
14.0,-0.4091810649880493,-0.4091810649880493,-0.4091810649880493,-0.40837351767065083
15.0,-0.41892819666667647,-0.419227272839982,-0.4191401468815505,-0.42884789449322813
16.0,-0.05010451066323713,-0.04149494906372954,-0.04999000099995001,-0.04979966808333155
17.0,-0.019999000000000003,-0.011681369241735028,-0.019999000000000003,-0.019999000000000003
18.0,-0.01,-0.009138996872689537,-0.01,-0.01
19.0,-0.0090001,0.22860470988695084,0.0,0.0
20.0,-0.01,0.7141150740249352,0.0,0.0
21.0,-0.24043197667934038,-0.23094048837255896,-0.23957083747549418,-0.23925569784052178
22.0,-0.01,0.09080528858654109,0.0,0.0
23.0,-0.06997900349965003,-0.06014594983520971,-0.0698398542656722,-0.06997900349965003
24.0,-0.039112382080042245,-0.040203788178487986,-0.03986271922320996,-0.0398817991737307
25.0,-0.014994376308853538,-0.019999000000000003,-0.019898265899800028,-0.019999000000000003
26.0,0.3082911393693895,0.0,0.0,0.0
27.0,-0.01417103006100173,-0.019999000000000003,-0.019999000000000003,-0.020099137378242947
28.0,-0.23597222159197612,-0.24092114982593116,-0.23961488095238617,-0.23954146353992936
29.0,0.6274823940980917,0.0,0.0,0.0
30.0,-0.0965762769901078,-0.09995501199790024,-0.09995501199790024,-0.09995501199790024
31.0,0.37490085713927185,0.0,0.0,0.0
32.0,-0.01,-0.01,0.1368088369151774,0.0
33.0,-0.01,-0.01,-0.009495850797067489,-0.010100088330584803
34.0,-0.01,-0.01,-0.008817658747807948,-0.01
35.0,-0.019999000000000003,-0.019999000000000003,-0.01060085380018661,-0.02018804170906016
36.0,-0.01,-0.01,0.12158778324627359,0.0
37.0,-0.01,-0.01,0.13481439901394732,0.0
38.0,-0.06997900349965003,-0.07987193563462804,-0.06992979434861357,-0.06997900349965003
39.0,-0.05977216004551857,-0.05998500199985002,-0.05233687536265151,-0.05998500199985002
40.0,-0.03999400039999001,-0.03999400039999001,-0.03999400039999001,-0.03491496964564326
41.0,-0.01,-0.01,-0.01,0.2345780635479625
42.0,-0.019999000000000003,-0.019999000000000003,-0.019999000000000003,-0.014573383018730847
43.0,-0.029748343076353212,-0.029997000100000004,-0.029997000100000004,-0.02064921917111807
44.0,-0.1697186411871949,-0.16986406797620623,-0.1699979906980014,-0.1675608364242323
45.0,-0.1396119222757884,-0.13973989049996177,-0.14022844833673004,-0.136343568215174
46.0,-0.01,-0.01,-0.009898982702362153,0.5898105514844034
47.0,-0.01,-0.01,-0.01,0.2466087120014835
48.0,-0.023320607010282615,-0.02326021670077204,-0.029997000100000004,-0.029997000100000004
49.0,-0.03688057217427939,-0.03374952714129273,-0.03999400039999001,-0.03999400039999001
50.0,0.14407201451781215,-0.00019999000000000001,0.0,0.0
51.0,-0.0001,0.1540411918233056,0.0,-0.01
52.0,0.0,0.19272533553709134,0.0,0.0
53.0,0.21562522852980975,-0.00019994037376982752,-0.01,-0.01
54.0,-9.9960317646593e-05,0.04238269386952183,0.0,-0.01
55.0,0.03855742724814172,0.0,-0.01,-0.01
56.0,-0.10496403702905675,-0.09608966930718024,-0.10005491204288826,-0.09606337612688949
57.0,-9.966360408661905e-05,-9.964380861575429e-05,-0.00029872188419894686,1.2134166550040733
58.0,-0.019898472637772356,-0.017494630634134305,-0.022909899531449132,-0.017475523219988815
59.0,0.0,0.5260234326422588,-9.95937487020884e-05,0.0
60.0,-0.01,1.4200883188020925,-9.944477858663054e-05,-0.0001
61.0,-0.14243519616074155,-0.14222500087861872,-0.1505278985751665,-0.1421077271515228
62.0,-0.009999613512126663,1.4775011205004178,-0.018994781951243895,-0.009797475783529904
63.0,0.0,-0.00019920750275017457,-0.009897930589593889,0.42576831074946686
64.0,-0.08004659438859076,-0.08910042450835248,-0.08978404755127263,-0.08002218747221039
65.0,-0.0001998019074942507,-0.00019974254362222226,-0.009898841548280959,0.47895744959356357
66.0,0.9781580249182822,-0.01009999,0.0,-9.984160219411067e-05
67.0,-0.03730121870752243,-0.03999400039999001,-0.041644446585253694,-0.037334380248615476
68.0,-0.16651953937079514,-0.17114212491142872,-0.1715252185835396,-0.16653665561844466
69.0,1.2102017347438334,-0.01,5.937908265094341e-07,-9.99900891500315e-05
70.0,-9.989109758823504e-05,0.0,-0.009798742705430364,0.959146884783764
71.0,-0.009591490822356906,-0.009899298240092034,-0.009797041194590865,1.454319692180297
72.0,-0.00029948466505224584,-0.0002987123931719271,1.3067140740351644,-0.019999000000000003
73.0,-0.03009691072978267,-0.010494112053334968,-0.02308746711416121,-0.0304660766056397
74.0,-0.020098989892160503,-0.019487140158597316,-0.019493327900530003,-0.0200970001
75.0,-0.008899387588641979,1.59202607973892,-0.0003987412725047666,0.0
76.0,-0.009899573003067194,-0.014163460934557781,1.7527550812480654,-0.03999400039999001
77.0,-9.988113697405345e-05,-0.00019902799553602927,0.7515826377178493,-0.0001
78.0,-0.009699723518516964,0.24831804307352132,-0.00019949483673120045,0.0
79.0,-0.040093465515426516,-0.0355400867372233,-0.03547056715277097,-0.040864188392503116
80.0,-0.00019925746941918283,-0.01,0.7293911010953039,-0.01
81.0,-0.012507130497421665,-0.021071249720055283,-0.0004188349296835726,-0.020198564094704916
82.0,1.5716922240214823,-3.0097980000995915e-08,-9.999005204153208e-05,-0.030094792305316406
83.0,-0.026659996246472722,-0.0301969400060298,-0.026697678716578764,-0.03491878639175817
84.0,-0.0001997425803105682,-9.990101319193952e-05,0.6228500495044992,-0.0001
85.0,-0.01969619316941265,-0.01959477479819796,1.6847989926228388,-0.019597003183217037
86.0,-0.04968897966953809,-0.05032493488032058,-0.04975592605598511,-0.05113133244160869
87.0,0.1944994131690536,-0.009899525619473935,-9.999005204153208e-05,-9.923538942001778e-05
88.0,0.0,0.0,0.1386967769899351,0.0
89.0,-0.019999000000000003,-0.019999000000000003,-0.012190301188355738,0.05612138135772853
90.0,-0.01,-0.01,-0.00696997329655701,-0.006853717801296875
91.0,-0.01,-0.01,-0.00596977653386069,-0.006047175069677017
