State,right,left,up,down
0.0,58.77681241034949,64.2251476207353,107.41300215838618,86.90197145111654
1.0,36.7238335999633,56.553826168186205,25.244597941220878,35.13069459779358
2.0,63.52171786535861,45.000656452445774,41.08360338145364,70.08600404401199
3.0,73.95446235709574,108.05225912729232,48.91875915691247,43.833174527680185
4.0,69.34165729355352,82.43588619053979,70.10784949343576,61.4382240780308
5.0,84.27121273321328,73.9562469046702,74.19839519871337,68.33026060797901
6.0,58.720201937128714,67.62209617610765,61.72967951997842,83.37865727192889
7.0,56.318629838549164,48.856550896011676,51.04846704652378,53.45577079259774
8.0,-94.89396997096816,-95.28987130275377,-95.28987130275377,-94.76652366972641
9.0,-56.953279,-52.17031,-52.17031,-52.17031
10.0,-52.17031,-51.75566600728936,-52.17031,-52.17031
11.0,-61.2579511,-57.56323278654357,-56.953279,-56.953279
12.0,-99.9441609106052,-99.94422217031185,-99.94831564631978,-99.18887925827637
13.0,-99.96279274464068,-99.96300115149648,-99.95889016832943,-99.95889016832943
14.0,-85.55718593663698,-85.34751056654761,-85.82502718357014,-79.92985977020858
15.0,-87.27836183511899,-97.9263256395777,-97.97244404095552,-97.97244404095552
16.0,-1.1354214298298064,50.38315191646706,0.0,0.0
17.0,-10.0,70.2067966289425,0.0,0.0
18.0,-10.0,31.29532330222112,-10.0,-10.0
19.0,-10.0,107.72258169614932,0.0,0.0
20.0,-0.7572512308177011,100.07483714132995,0.0,0.0
21.0,-0.029920357823259105,33.061296937987144,0.0,0.0
22.0,-10.0,93.22048960915123,0.0,0.0
23.0,-10.0,55.07208597282156,0.0,0.0
24.0,32.70348646706055,0.0,0.0,0.0
25.0,56.21381686067545,0.0,0.0,0.0
26.0,105.8688369571438,0.0,0.0,0.0
27.0,11.499778097673438,-11.663499491249112,-10.0,-10.0
28.0,43.00511815286158,0.0,0.0,0.0
29.0,87.41482900473223,0.0,0.0,0.0
30.0,29.121977011438084,0.0,0.0,0.0
31.0,90.23667038807166,0.0,0.0,0.0
32.0,-19.0,-19.0,83.81427946035966,0.0
33.0,-10.0,-5.622931444287876,71.14774626495381,0.0
34.0,-10.0,-10.0,39.924462233659305,0.0
35.0,-10.0,-10.0,39.77386497106293,0.0
36.0,0.0,0.0,92.96831523847479,0.0
37.0,-10.0,-10.0,94.00866429968096,-10.0
38.0,-10.0,-10.0,59.05598010625938,0.0
39.0,-10.0,-10.0,44.252939811091814,-14.410895509000001
40.0,-10.0,-10.0,-10.0,20.265631212269888
41.0,-10.0,-10.0,-10.0,79.74360736690754
42.0,-10.0,-10.0,-10.0,32.088240391349174
43.0,-10.0,-10.0,-10.0,44.62986622315931
44.0,-10.0,-10.0,-5.148376403578161,39.43835719634035
45.0,-10.0,-10.0,-10.0,20.514220755593062
46.0,-10.0,-10.0,-10.0,72.43987108545615
47.0,-10.0,-10.0,-1.6965190712053315,93.70479971108637
48.0,6.128304009519428,36.47365545990221,-10.0,-10.0
49.0,67.84316425146078,-1.0,-10.0,0.0
50.0,105.83997847363291,0.0,0.0,-19.0
51.0,-1.0,108.56738159407547,0.0,0.0
52.0,5.066126994244627,62.97331203116188,0.0,0.0
53.0,80.69069108836366,0.0,-10.0,-27.1
54.0,-1.0,70.99295737249983,0.0,-10.0
55.0,80.63486115261159,-1.0,-27.1,0.0
56.0,-2.674212126037885,26.271694587146857,0.0,0.0
57.0,0.0,65.58994712315634,6.775707238285191,2.7499002634480685
58.0,-5.7224148702013435,-0.3938130377339222,-3.4703047596098138,19.344584914391298
59.0,-10.0,98.12028321408415,-10.0,0.0
60.0,0.7187831102527767,83.46517309217774,6.994823100133053,6.9201482019727045
61.0,-0.40191009302265535,12.367652954479132,6.928218161396628,20.460310879605437
62.0,-24.940325100639754,70.71494449098805,-5.028801831736229,5.705160516550612
63.0,0.33411371052392536,11.594223404364088,-11.5216145470819,85.06517230524663
