0,"[120, 50]","[[110, 60]]"
1,"[120, 50]","[[100, 100]]"
2,"[120, 50]","[[100, 90]]"
3,"[120, 50]","[[110, 90]]"
4,"[120, 50]","[[110, 80]]"
5,"[120, 50]","[[120, 80]]"
6,"[120, 50]","[[120, 70]]"
7,"[120, 50]","[[120, 60]]"
8,"[120, 50]","[[120, 50], [120, 60]]"
9,"[170, 130]","[[120, 40], [120, 50]]"
10,"[170, 130]","[[130, 40], [120, 40]]"
11,"[170, 130]","[[130, 50], [130, 40]]"
12,"[170, 130]","[[140, 50], [130, 50]]"
13,"[170, 130]","[[140, 60], [140, 50]]"
14,"[170, 130]","[[150, 60], [140, 60]]"
15,"[170, 130]","[[150, 70], [150, 60]]"
16,"[170, 130]","[[160, 70], [150, 70]]"
17,"[170, 130]","[[160, 80], [160, 70]]"
18,"[170, 130]","[[170, 80], [160, 80]]"
19,"[170, 130]","[[180, 80], [170, 80]]"
20,"[170, 130]","[[180, 90], [180, 80]]"
21,"[170, 130]","[[170, 90], [180, 90]]"
22,"[170, 130]","[[160, 90], [170, 90]]"
23,"[170, 130]","[[160, 100], [160, 90]]"
24,"[170, 130]","[[170, 100], [160, 100]]"
25,"[170, 130]","[[180, 100], [170, 100]]"
26,"[170, 130]","[[180, 110], [180, 100]]"
27,"[170, 130]","[[170, 110], [180, 110]]"
28,"[170, 130]","[[160, 110], [170, 110]]"
29,"[170, 130]","[[160, 120], [160, 110]]"
30,"[170, 130]","[[170, 120], [160, 120]]"
31,"[170, 130]","[[180, 120], [170, 120]]"
32,"[170, 130]","[[180, 130], [180, 120]]"
33,"[170, 130]","[[170, 130], [180, 130], [180, 120]]"
34,"[30, 60]","[[170, 140], [170, 130], [180, 130]]"
35,"[30, 60]","[[160, 140], [170, 140], [170, 130]]"
36,"[30, 60]","[[150, 140], [160, 140], [170, 140]]"
37,"[30, 60]","[[140, 140], [150, 140], [160, 140]]"
38,"[30, 60]","[[130, 140], [140, 140], [150, 140]]"
39,"[30, 60]","[[120, 140], [130, 140], [140, 140]]"
40,"[30, 60]","[[110, 140], [120, 140], [130, 140]]"
41,"[30, 60]","[[100, 140], [110, 140], [120, 140]]"
42,"[30, 60]","[[90, 140], [100, 140], [110, 140]]"
43,"[30, 60]","[[80, 140], [90, 140], [100, 140]]"
44,"[30, 60]","[[70, 140], [80, 140], [90, 140]]"
45,"[30, 60]","[[60, 140], [70, 140], [80, 140]]"
46,"[30, 60]","[[50, 140], [60, 140], [70, 140]]"
47,"[30, 60]","[[40, 140], [50, 140], [60, 140]]"
48,"[30, 60]","[[30, 140], [40, 140], [50, 140]]"
49,"[30, 60]","[[30, 130], [30, 140], [40, 140]]"
50,"[30, 60]","[[30, 120], [30, 130], [30, 140]]"
51,"[30, 60]","[[30, 110], [30, 120], [30, 130]]"
52,"[30, 60]","[[30, 100], [30, 110], [30, 120]]"
53,"[30, 60]","[[30, 90], [30, 100], [30, 110]]"
54,"[30, 60]","[[30, 80], [30, 90], [30, 100]]"
55,"[30, 60]","[[30, 70], [30, 80], [30, 90]]"
56,"[30, 60]","[[30, 60], [30, 70], [30, 80], [30, 90]]"
57,"[50, 200]","[[20, 60], [30, 60], [30, 70], [30, 80]]"
58,"[50, 200]","[[20, 70], [20, 60], [30, 60], [30, 70]]"
59,"[50, 200]","[[20, 80], [20, 70], [20, 60], [30, 60]]"
60,"[50, 200]","[[30, 80], [20, 80], [20, 70], [20, 60]]"
61,"[50, 200]","[[30, 90], [30, 80], [20, 80], [20, 70]]"
62,"[50, 200]","[[40, 90], [30, 90], [30, 80], [20, 80]]"
63,"[50, 200]","[[40, 100], [40, 90], [30, 90], [30, 80]]"
64,"[50, 200]","[[50, 100], [40, 100], [40, 90], [30, 90]]"
65,"[50, 200]","[[50, 110], [50, 100], [40, 100], [40, 90]]"
66,"[50, 200]","[[50, 120], [50, 110], [50, 100], [40, 100]]"
67,"[50, 200]","[[50, 130], [50, 120], [50, 110], [50, 100]]"
68,"[50, 200]","[[50, 140], [50, 130], [50, 120], [50, 110]]"
69,"[50, 200]","[[50, 150], [50, 140], [50, 130], [50, 120]]"
70,"[50, 200]","[[50, 160], [50, 150], [50, 140], [50, 130]]"
71,"[50, 200]","[[50, 170], [50, 160], [50, 150], [50, 140]]"
72,"[50, 200]","[[50, 180], [50, 170], [50, 160], [50, 150]]"
73,"[50, 200]","[[50, 190], [50, 180], [50, 170], [50, 160]]"
74,"[50, 200]","[[50, 200], [50, 190], [50, 180], [50, 170], [50, 160]]"
75,"[90, 60]","[[60, 200], [50, 200], [50, 190], [50, 180], [50, 170]]"
76,"[90, 60]","[[60, 190], [60, 200], [50, 200], [50, 190], [50, 180]]"
77,"[90, 60]","[[60, 180], [60, 190], [60, 200], [50, 200], [50, 190]]"
78,"[90, 60]","[[70, 180], [60, 180], [60, 190], [60, 200], [50, 200]]"
79,"[90, 60]","[[70, 170], [70, 180], [60, 180], [60, 190], [60, 200]]"
80,"[90, 60]","[[80, 170], [70, 170], [70, 180], [60, 180], [60, 190]]"
81,"[90, 60]","[[80, 160], [80, 170], [70, 170], [70, 180], [60, 180]]"
82,"[90, 60]","[[90, 160], [80, 160], [80, 170], [70, 170], [70, 180]]"
83,"[90, 60]","[[90, 150], [90, 160], [80, 160], [80, 170], [70, 170]]"
84,"[90, 60]","[[90, 140], [90, 150], [90, 160], [80, 160], [80, 170]]"
85,"[90, 60]","[[90, 130], [90, 140], [90, 150], [90, 160], [80, 160]]"
86,"[90, 60]","[[90, 120], [90, 130], [90, 140], [90, 150], [90, 160]]"
87,"[90, 60]","[[90, 110], [90, 120], [90, 130], [90, 140], [90, 150]]"
88,"[90, 60]","[[90, 100], [90, 110], [90, 120], [90, 130], [90, 140]]"
89,"[90, 60]","[[90, 90], [90, 100], [90, 110], [90, 120], [90, 130]]"
90,"[90, 60]","[[90, 80], [90, 90], [90, 100], [90, 110], [90, 120]]"
91,"[90, 60]","[[90, 70], [90, 80], [90, 90], [90, 100], [90, 110]]"
92,"[90, 60]","[[90, 60], [90, 70], [90, 80], [90, 90], [90, 100], [90, 110]]"
93,"[130, 20]","[[80, 60], [90, 60], [90, 70], [90, 80], [90, 90], [90, 100]]"
94,"[130, 20]","[[80, 50], [80, 60], [90, 60], [90, 70], [90, 80], [90, 90]]"
95,"[130, 20]","[[90, 50], [80, 50], [80, 60], [90, 60], [90, 70], [90, 80]]"
96,"[130, 20]","[[100, 50], [90, 50], [80, 50], [80, 60], [90, 60], [90, 70]]"
97,"[130, 20]","[[100, 40], [100, 50], [90, 50], [80, 50], [80, 60], [90, 60]]"
98,"[130, 20]","[[110, 40], [100, 40], [100, 50], [90, 50], [80, 50], [80, 60]]"
99,"[130, 20]","[[110, 30], [110, 40], [100, 40], [100, 50], [90, 50], [80, 50]]"
100,"[130, 20]","[[120, 30], [110, 30], [110, 40], [100, 40], [100, 50], [90, 50]]"
101,"[130, 20]","[[120, 20], [120, 30], [110, 30], [110, 40], [100, 40], [100, 50]]"
102,"[130, 20]","[[130, 20], [120, 20], [120, 30], [110, 30], [110, 40], [100, 40], [100, 50]]"
103,"[90, 180]","[[140, 20], [130, 20], [120, 20], [120, 30], [110, 30], [110, 40], [100, 40]]"
104,"[90, 180]","[[140, 30], [140, 20], [130, 20], [120, 20], [120, 30], [110, 30], [110, 40]]"
105,"[90, 180]","[[130, 30], [140, 30], [140, 20], [130, 20], [120, 20], [120, 30], [110, 30]]"
106,"[90, 180]","[[130, 40], [130, 30], [140, 30], [140, 20], [130, 20], [120, 20], [120, 30]]"
107,"[90, 180]","[[120, 40], [130, 40], [130, 30], [140, 30], [140, 20], [130, 20], [120, 20]]"
108,"[90, 180]","[[120, 50], [120, 40], [130, 40], [130, 30], [140, 30], [140, 20], [130, 20]]"
109,"[90, 180]","[[110, 50], [120, 50], [120, 40], [130, 40], [130, 30], [140, 30], [140, 20]]"
110,"[90, 180]","[[110, 60], [110, 50], [120, 50], [120, 40], [130, 40], [130, 30], [140, 30]]"
111,"[90, 180]","[[100, 60], [110, 60], [110, 50], [120, 50], [120, 40], [130, 40], [130, 30]]"
112,"[90, 180]","[[100, 70], [100, 60], [110, 60], [110, 50], [120, 50], [120, 40], [130, 40]]"
113,"[90, 180]","[[90, 70], [100, 70], [100, 60], [110, 60], [110, 50], [120, 50], [120, 40]]"
114,"[90, 180]","[[90, 80], [90, 70], [100, 70], [100, 60], [110, 60], [110, 50], [120, 50]]"
115,"[90, 180]","[[90, 90], [90, 80], [90, 70], [100, 70], [100, 60], [110, 60], [110, 50]]"
116,"[90, 180]","[[90, 100], [90, 90], [90, 80], [90, 70], [100, 70], [100, 60], [110, 60]]"
117,"[90, 180]","[[90, 110], [90, 100], [90, 90], [90, 80], [90, 70], [100, 70], [100, 60]]"
118,"[90, 180]","[[90, 120], [90, 110], [90, 100], [90, 90], [90, 80], [90, 70], [100, 70]]"
119,"[90, 180]","[[90, 130], [90, 120], [90, 110], [90, 100], [90, 90], [90, 80], [90, 70]]"
120,"[90, 180]","[[90, 140], [90, 130], [90, 120], [90, 110], [90, 100], [90, 90], [90, 80]]"
121,"[90, 180]","[[90, 150], [90, 140], [90, 130], [90, 120], [90, 110], [90, 100], [90, 90]]"
122,"[90, 180]","[[90, 160], [90, 150], [90, 140], [90, 130], [90, 120], [90, 110], [90, 100]]"
123,"[90, 180]","[[90, 170], [90, 160], [90, 150], [90, 140], [90, 130], [90, 120], [90, 110]]"
124,"[90, 180]","[[90, 180], [90, 170], [90, 160], [90, 150], [90, 140], [90, 130], [90, 120], [90, 110]]"
125,"[190, 140]","[[90, 190], [90, 180], [90, 170], [90, 160], [90, 150], [90, 140], [90, 130], [90, 120]]"
126,"[190, 140]","[[100, 190], [90, 190], [90, 180], [90, 170], [90, 160], [90, 150], [90, 140], [90, 130]]"
127,"[190, 140]","[[100, 180], [100, 190], [90, 190], [90, 180], [90, 170], [90, 160], [90, 150], [90, 140]]"
128,"[190, 140]","[[100, 170], [100, 180], [100, 190], [90, 190], [90, 180], [90, 170], [90, 160], [90, 150]]"
129,"[190, 140]","[[100, 160], [100, 170], [100, 180], [100, 190], [90, 190], [90, 180], [90, 170], [90, 160]]"
130,"[190, 140]","[[100, 150], [100, 160], [100, 170], [100, 180], [100, 190], [90, 190], [90, 180], [90, 170]]"
131,"[190, 140]","[[110, 150], [100, 150], [100, 160], [100, 170], [100, 180], [100, 190], [90, 190], [90, 180]]"
132,"[190, 140]","[[110, 140], [110, 150], [100, 150], [100, 160], [100, 170], [100, 180], [100, 190], [90, 190]]"
133,"[190, 140]","[[120, 140], [110, 140], [110, 150], [100, 150], [100, 160], [100, 170], [100, 180], [100, 190]]"
134,"[190, 140]","[[130, 140], [120, 140], [110, 140], [110, 150], [100, 150], [100, 160], [100, 170], [100, 180]]"
135,"[190, 140]","[[140, 140], [130, 140], [120, 140], [110, 140], [110, 150], [100, 150], [100, 160], [100, 170]]"
136,"[190, 140]","[[150, 140], [140, 140], [130, 140], [120, 140], [110, 140], [110, 150], [100, 150], [100, 160]]"
137,"[190, 140]","[[160, 140], [150, 140], [140, 140], [130, 140], [120, 140], [110, 140], [110, 150], [100, 150]]"
138,"[190, 140]","[[170, 140], [160, 140], [150, 140], [140, 140], [130, 140], [120, 140], [110, 140], [110, 150]]"
139,"[190, 140]","[[180, 140], [170, 140], [160, 140], [150, 140], [140, 140], [130, 140], [120, 140], [110, 140]]"
140,"[190, 140]","[[190, 140], [180, 140], [170, 140], [160, 140], [150, 140], [140, 140], [130, 140], [120, 140], [110, 140]]"
141,"[80, 110]","[[200, 140], [190, 140], [180, 140], [170, 140], [160, 140], [150, 140], [140, 140], [130, 140], [120, 140]]"
142,"[80, 110]","[[200, 130], [200, 140], [190, 140], [180, 140], [170, 140], [160, 140], [150, 140], [140, 140], [130, 140]]"
143,"[80, 110]","[[190, 130], [200, 130], [200, 140], [190, 140], [180, 140], [170, 140], [160, 140], [150, 140], [140, 140]]"
144,"[80, 110]","[[190, 120], [190, 130], [200, 130], [200, 140], [190, 140], [180, 140], [170, 140], [160, 140], [150, 140]]"
145,"[80, 110]","[[180, 120], [190, 120], [190, 130], [200, 130], [200, 140], [190, 140], [180, 140], [170, 140], [160, 140]]"
146,"[80, 110]","[[180, 110], [180, 120], [190, 120], [190, 130], [200, 130], [200, 140], [190, 140], [180, 140], [170, 140]]"
147,"[80, 110]","[[170, 110], [180, 110], [180, 120], [190, 120], [190, 130], [200, 130], [200, 140], [190, 140], [180, 140]]"
148,"[80, 110]","[[160, 110], [170, 110], [180, 110], [180, 120], [190, 120], [190, 130], [200, 130], [200, 140], [190, 140]]"
149,"[80, 110]","[[150, 110], [160, 110], [170, 110], [180, 110], [180, 120], [190, 120], [190, 130], [200, 130], [200, 140]]"
150,"[80, 110]","[[140, 110], [150, 110], [160, 110], [170, 110], [180, 110], [180, 120], [190, 120], [190, 130], [200, 130]]"
151,"[80, 110]","[[130, 110], [140, 110], [150, 110], [160, 110], [170, 110], [180, 110], [180, 120], [190, 120], [190, 130]]"
152,"[80, 110]","[[120, 110], [130, 110], [140, 110], [150, 110], [160, 110], [170, 110], [180, 110], [180, 120], [190, 120]]"
153,"[80, 110]","[[110, 110], [120, 110], [130, 110], [140, 110], [150, 110], [160, 110], [170, 110], [180, 110], [180, 120]]"
154,"[80, 110]","[[100, 110], [110, 110], [120, 110], [130, 110], [140, 110], [150, 110], [160, 110], [170, 110], [180, 110]]"
155,"[80, 110]","[[90, 110], [100, 110], [110, 110], [120, 110], [130, 110], [140, 110], [150, 110], [160, 110], [170, 110]]"
156,"[80, 110]","[[80, 110], [90, 110], [100, 110], [110, 110], [120, 110], [130, 110], [140, 110], [150, 110], [160, 110], [170, 110]]"
157,"[50, 140]","[[70, 110], [80, 110], [90, 110], [100, 110], [110, 110], [120, 110], [130, 110], [140, 110], [150, 110], [160, 110]]"
158,"[50, 140]","[[70, 120], [70, 110], [80, 110], [90, 110], [100, 110], [110, 110], [120, 110], [130, 110], [140, 110], [150, 110]]"
159,"[50, 140]","[[60, 120], [70, 120], [70, 110], [80, 110], [90, 110], [100, 110], [110, 110], [120, 110], [130, 110], [140, 110]]"
160,"[50, 140]","[[60, 130], [60, 120], [70, 120], [70, 110], [80, 110], [90, 110], [100, 110], [110, 110], [120, 110], [130, 110]]"
161,"[50, 140]","[[50, 130], [60, 130], [60, 120], [70, 120], [70, 110], [80, 110], [90, 110], [100, 110], [110, 110], [120, 110]]"
162,"[50, 140]","[[50, 140], [50, 130], [60, 130], [60, 120], [70, 120], [70, 110], [80, 110], [90, 110], [100, 110], [110, 110], [120, 110]]"
163,"[170, 140]","[[50, 150], [50, 140], [50, 130], [60, 130], [60, 120], [70, 120], [70, 110], [80, 110], [90, 110], [100, 110], [110, 110]]"
164,"[170, 140]","[[60, 150], [50, 150], [50, 140], [50, 130], [60, 130], [60, 120], [70, 120], [70, 110], [80, 110], [90, 110], [100, 110]]"
165,"[170, 140]","[[60, 140], [60, 150], [50, 150], [50, 140], [50, 130], [60, 130], [60, 120], [70, 120], [70, 110], [80, 110], [90, 110]]"
166,"[170, 140]","[[70, 140], [60, 140], [60, 150], [50, 150], [50, 140], [50, 130], [60, 130], [60, 120], [70, 120], [70, 110], [80, 110]]"
167,"[170, 140]","[[80, 140], [70, 140], [60, 140], [60, 150], [50, 150], [50, 140], [50, 130], [60, 130], [60, 120], [70, 120], [70, 110]]"
168,"[170, 140]","[[90, 140], [80, 140], [70, 140], [60, 140], [60, 150], [50, 150], [50, 140], [50, 130], [60, 130], [60, 120], [70, 120]]"
169,"[170, 140]","[[100, 140], [90, 140], [80, 140], [70, 140], [60, 140], [60, 150], [50, 150], [50, 140], [50, 130], [60, 130], [60, 120]]"
170,"[170, 140]","[[110, 140], [100, 140], [90, 140], [80, 140], [70, 140], [60, 140], [60, 150], [50, 150], [50, 140], [50, 130], [60, 130]]"
171,"[170, 140]","[[120, 140], [110, 140], [100, 140], [90, 140], [80, 140], [70, 140], [60, 140], [60, 150], [50, 150], [50, 140], [50, 130]]"
