0,"[90, 160]","[[90, 200]]"
1,"[90, 160]","[[70, 140]]"
2,"[90, 160]","[[80, 140]]"
3,"[90, 160]","[[90, 140]]"
4,"[90, 160]","[[90, 150]]"
5,"[90, 160]","[[90, 160], [90, 150]]"
6,"[20, 140]","[[90, 170], [90, 160]]"
7,"[20, 140]","[[80, 170], [90, 170]]"
8,"[20, 140]","[[80, 160], [80, 170]]"
9,"[20, 140]","[[70, 160], [80, 160]]"
10,"[20, 140]","[[70, 150], [70, 160]]"
11,"[20, 140]","[[60, 150], [70, 150]]"
12,"[20, 140]","[[60, 140], [60, 150]]"
13,"[20, 140]","[[50, 140], [60, 140]]"
14,"[20, 140]","[[40, 140], [50, 140]]"
15,"[20, 140]","[[30, 140], [40, 140]]"
16,"[20, 140]","[[20, 140], [30, 140], [40, 140]]"
17,"[70, 50]","[[20, 150], [20, 140], [30, 140]]"
18,"[70, 50]","[[30, 150], [20, 150], [20, 140]]"
19,"[70, 50]","[[30, 140], [30, 150], [20, 150]]"
20,"[70, 50]","[[40, 140], [30, 140], [30, 150]]"
21,"[70, 50]","[[40, 130], [40, 140], [30, 140]]"
22,"[70, 50]","[[50, 130], [40, 130], [40, 140]]"
23,"[70, 50]","[[50, 120], [50, 130], [40, 130]]"
24,"[70, 50]","[[60, 120], [50, 120], [50, 130]]"
25,"[70, 50]","[[60, 110], [60, 120], [50, 120]]"
26,"[70, 50]","[[70, 110], [60, 110], [60, 120]]"
27,"[70, 50]","[[70, 100], [70, 110], [60, 110]]"
28,"[70, 50]","[[70, 90], [70, 100], [70, 110]]"
29,"[70, 50]","[[70, 80], [70, 90], [70, 100]]"
30,"[70, 50]","[[70, 70], [70, 80], [70, 90]]"
31,"[70, 50]","[[70, 60], [70, 70], [70, 80]]"
32,"[70, 50]","[[70, 50], [70, 60], [70, 70], [70, 80]]"
33,"[150, 180]","[[70, 40], [70, 50], [70, 60], [70, 70]]"
34,"[150, 180]","[[80, 40], [70, 40], [70, 50], [70, 60]]"
35,"[150, 180]","[[80, 50], [80, 40], [70, 40], [70, 50]]"
36,"[150, 180]","[[80, 60], [80, 50], [80, 40], [70, 40]]"
37,"[150, 180]","[[90, 60], [80, 60], [80, 50], [80, 40]]"
38,"[150, 180]","[[90, 70], [90, 60], [80, 60], [80, 50]]"
39,"[150, 180]","[[100, 70], [90, 70], [90, 60], [80, 60]]"
40,"[150, 180]","[[100, 80], [100, 70], [90, 70], [90, 60]]"
41,"[150, 180]","[[110, 80], [100, 80], [100, 70], [90, 70]]"
42,"[150, 180]","[[110, 90], [110, 80], [100, 80], [100, 70]]"
43,"[150, 180]","[[120, 90], [110, 90], [110, 80], [100, 80]]"
44,"[150, 180]","[[120, 100], [120, 90], [110, 90], [110, 80]]"
45,"[150, 180]","[[130, 100], [120, 100], [120, 90], [110, 90]]"
46,"[150, 180]","[[130, 110], [130, 100], [120, 100], [120, 90]]"
47,"[150, 180]","[[140, 110], [130, 110], [130, 100], [120, 100]]"
48,"[150, 180]","[[140, 120], [140, 110], [130, 110], [130, 100]]"
49,"[150, 180]","[[150, 120], [140, 120], [140, 110], [130, 110]]"
50,"[150, 180]","[[150, 130], [150, 120], [140, 120], [140, 110]]"
51,"[150, 180]","[[150, 140], [150, 130], [150, 120], [140, 120]]"
52,"[150, 180]","[[150, 150], [150, 140], [150, 130], [150, 120]]"
53,"[150, 180]","[[150, 160], [150, 150], [150, 140], [150, 130]]"
54,"[150, 180]","[[150, 170], [150, 160], [150, 150], [150, 140]]"
55,"[150, 180]","[[150, 180], [150, 170], [150, 160], [150, 150], [150, 140]]"
56,"[80, 130]","[[150, 190], [150, 180], [150, 170], [150, 160], [150, 150]]"
57,"[80, 130]","[[140, 190], [150, 190], [150, 180], [150, 170], [150, 160]]"
58,"[80, 130]","[[140, 180], [140, 190], [150, 190], [150, 180], [150, 170]]"
59,"[80, 130]","[[140, 170], [140, 180], [140, 190], [150, 190], [150, 180]]"
60,"[80, 130]","[[130, 170], [140, 170], [140, 180], [140, 190], [150, 190]]"
61,"[80, 130]","[[130, 160], [130, 170], [140, 170], [140, 180], [140, 190]]"
62,"[80, 130]","[[120, 160], [130, 160], [130, 170], [140, 170], [140, 180]]"
63,"[80, 130]","[[120, 150], [120, 160], [130, 160], [130, 170], [140, 170]]"
64,"[80, 130]","[[110, 150], [120, 150], [120, 160], [130, 160], [130, 170]]"
65,"[80, 130]","[[110, 140], [110, 150], [120, 150], [120, 160], [130, 160]]"
66,"[80, 130]","[[100, 140], [110, 140], [110, 150], [120, 150], [120, 160]]"
67,"[80, 130]","[[100, 130], [100, 140], [110, 140], [110, 150], [120, 150]]"
68,"[80, 130]","[[90, 130], [100, 130], [100, 140], [110, 140], [110, 150]]"
69,"[80, 130]","[[80, 130], [90, 130], [100, 130], [100, 140], [110, 140], [110, 150]]"
70,"[180, 180]","[[80, 140], [80, 130], [90, 130], [100, 130], [100, 140], [110, 140]]"
71,"[180, 180]","[[90, 140], [80, 140], [80, 130], [90, 130], [100, 130], [100, 140]]"
72,"[180, 180]","[[90, 150], [90, 140], [80, 140], [80, 130], [90, 130], [100, 130]]"
73,"[180, 180]","[[100, 150], [90, 150], [90, 140], [80, 140], [80, 130], [90, 130]]"
74,"[180, 180]","[[100, 160], [100, 150], [90, 150], [90, 140], [80, 140], [80, 130]]"
75,"[180, 180]","[[110, 160], [100, 160], [100, 150], [90, 150], [90, 140], [80, 140]]"
76,"[180, 180]","[[110, 170], [110, 160], [100, 160], [100, 150], [90, 150], [90, 140]]"
77,"[180, 180]","[[120, 170], [110, 170], [110, 160], [100, 160], [100, 150], [90, 150]]"
78,"[180, 180]","[[120, 180], [120, 170], [110, 170], [110, 160], [100, 160], [100, 150]]"
79,"[180, 180]","[[130, 180], [120, 180], [120, 170], [110, 170], [110, 160], [100, 160]]"
80,"[180, 180]","[[140, 180], [130, 180], [120, 180], [120, 170], [110, 170], [110, 160]]"
81,"[180, 180]","[[150, 180], [140, 180], [130, 180], [120, 180], [120, 170], [110, 170]]"
82,"[180, 180]","[[160, 180], [150, 180], [140, 180], [130, 180], [120, 180], [120, 170]]"
83,"[180, 180]","[[170, 180], [160, 180], [150, 180], [140, 180], [130, 180], [120, 180]]"
84,"[180, 180]","[[180, 180], [170, 180], [160, 180], [150, 180], [140, 180], [130, 180], [120, 180]]"
85,"[110, 150]","[[180, 190], [180, 180], [170, 180], [160, 180], [150, 180], [140, 180], [130, 180]]"
86,"[110, 150]","[[170, 190], [180, 190], [180, 180], [170, 180], [160, 180], [150, 180], [140, 180]]"
87,"[110, 150]","[[160, 190], [170, 190], [180, 190], [180, 180], [170, 180], [160, 180], [150, 180]]"
88,"[110, 150]","[[150, 190], [160, 190], [170, 190], [180, 190], [180, 180], [170, 180], [160, 180]]"
89,"[110, 150]","[[150, 180], [150, 190], [160, 190], [170, 190], [180, 190], [180, 180], [170, 180]]"
90,"[110, 150]","[[140, 180], [150, 180], [150, 190], [160, 190], [170, 190], [180, 190], [180, 180]]"
91,"[110, 150]","[[140, 170], [140, 180], [150, 180], [150, 190], [160, 190], [170, 190], [180, 190]]"
92,"[110, 150]","[[130, 170], [140, 170], [140, 180], [150, 180], [150, 190], [160, 190], [170, 190]]"
93,"[110, 150]","[[130, 160], [130, 170], [140, 170], [140, 180], [150, 180], [150, 190], [160, 190]]"
94,"[110, 150]","[[120, 160], [130, 160], [130, 170], [140, 170], [140, 180], [150, 180], [150, 190]]"
95,"[110, 150]","[[120, 150], [120, 160], [130, 160], [130, 170], [140, 170], [140, 180], [150, 180]]"
96,"[110, 150]","[[110, 150], [120, 150], [120, 160], [130, 160], [130, 170], [140, 170], [140, 180], [150, 180]]"
97,"[130, 140]","[[110, 160], [110, 150], [120, 150], [120, 160], [130, 160], [130, 170], [140, 170], [140, 180]]"
98,"[130, 140]","[[100, 160], [110, 160], [110, 150], [120, 150], [120, 160], [130, 160], [130, 170], [140, 170]]"
99,"[130, 140]","[[100, 150], [100, 160], [110, 160], [110, 150], [120, 150], [120, 160], [130, 160], [130, 170]]"
100,"[130, 140]","[[100, 140], [100, 150], [100, 160], [110, 160], [110, 150], [120, 150], [120, 160], [130, 160]]"
101,"[130, 140]","[[110, 140], [100, 140], [100, 150], [100, 160], [110, 160], [110, 150], [120, 150], [120, 160]]"
102,"[130, 140]","[[120, 140], [110, 140], [100, 140], [100, 150], [100, 160], [110, 160], [110, 150], [120, 150]]"
103,"[130, 140]","[[130, 140], [120, 140], [110, 140], [100, 140], [100, 150], [100, 160], [110, 160], [110, 150], [120, 150]]"
104,"[70, 190]","[[130, 150], [130, 140], [120, 140], [110, 140], [100, 140], [100, 150], [100, 160], [110, 160], [110, 150]]"
105,"[70, 190]","[[120, 150], [130, 150], [130, 140], [120, 140], [110, 140], [100, 140], [100, 150], [100, 160], [110, 160]]"
106,"[70, 190]","[[110, 150], [120, 150], [130, 150], [130, 140], [120, 140], [110, 140], [100, 140], [100, 150], [100, 160]]"
107,"[70, 190]","[[110, 160], [110, 150], [120, 150], [130, 150], [130, 140], [120, 140], [110, 140], [100, 140], [100, 150]]"
108,"[70, 190]","[[100, 160], [110, 160], [110, 150], [120, 150], [130, 150], [130, 140], [120, 140], [110, 140], [100, 140]]"
109,"[70, 190]","[[100, 170], [100, 160], [110, 160], [110, 150], [120, 150], [130, 150], [130, 140], [120, 140], [110, 140]]"
110,"[70, 190]","[[90, 170], [100, 170], [100, 160], [110, 160], [110, 150], [120, 150], [130, 150], [130, 140], [120, 140]]"
111,"[70, 190]","[[90, 180], [90, 170], [100, 170], [100, 160], [110, 160], [110, 150], [120, 150], [130, 150], [130, 140]]"
112,"[70, 190]","[[80, 180], [90, 180], [90, 170], [100, 170], [100, 160], [110, 160], [110, 150], [120, 150], [130, 150]]"
113,"[70, 190]","[[80, 190], [80, 180], [90, 180], [90, 170], [100, 170], [100, 160], [110, 160], [110, 150], [120, 150]]"
114,"[70, 190]","[[70, 190], [80, 190], [80, 180], [90, 180], [90, 170], [100, 170], [100, 160], [110, 160], [110, 150], [120, 150]]"
115,"[150, 80]","[[70, 200], [70, 190], [80, 190], [80, 180], [90, 180], [90, 170], [100, 170], [100, 160], [110, 160], [110, 150]]"
116,"[150, 80]","[[80, 200], [70, 200], [70, 190], [80, 190], [80, 180], [90, 180], [90, 170], [100, 170], [100, 160], [110, 160]]"
117,"[150, 80]","[[90, 200], [80, 200], [70, 200], [70, 190], [80, 190], [80, 180], [90, 180], [90, 170], [100, 170], [100, 160]]"
118,"[150, 80]","[[90, 190], [90, 200], [80, 200], [70, 200], [70, 190], [80, 190], [80, 180], [90, 180], [90, 170], [100, 170]]"
119,"[150, 80]","[[100, 190], [90, 190], [90, 200], [80, 200], [70, 200], [70, 190], [80, 190], [80, 180], [90, 180], [90, 170]]"
120,"[150, 80]","[[100, 180], [100, 190], [90, 190], [90, 200], [80, 200], [70, 200], [70, 190], [80, 190], [80, 180], [90, 180]]"
121,"[150, 80]","[[100, 170], [100, 180], [100, 190], [90, 190], [90, 200], [80, 200], [70, 200], [70, 190], [80, 190], [80, 180]]"
122,"[150, 80]","[[110, 170], [100, 170], [100, 180], [100, 190], [90, 190], [90, 200], [80, 200], [70, 200], [70, 190], [80, 190]]"
123,"[150, 80]","[[110, 160], [110, 170], [100, 170], [100, 180], [100, 190], [90, 190], [90, 200], [80, 200], [70, 200], [70, 190]]"
124,"[150, 80]","[[120, 160], [110, 160], [110, 170], [100, 170], [100, 180], [100, 190], [90, 190], [90, 200], [80, 200], [70, 200]]"
125,"[150, 80]","[[120, 150], [120, 160], [110, 160], [110, 170], [100, 170], [100, 180], [100, 190], [90, 190], [90, 200], [80, 200]]"
126,"[150, 80]","[[130, 150], [120, 150], [120, 160], [110, 160], [110, 170], [100, 170], [100, 180], [100, 190], [90, 190], [90, 200]]"
127,"[150, 80]","[[130, 140], [130, 150], [120, 150], [120, 160], [110, 160], [110, 170], [100, 170], [100, 180], [100, 190], [90, 190]]"
