0,"[50, 70]","[[40, 40]]"
1,"[50, 70]","[[160, 190]]"
2,"[50, 70]","[[150, 190]]"
3,"[50, 70]","[[140, 190]]"
4,"[50, 70]","[[130, 190]]"
5,"[50, 70]","[[120, 190]]"
6,"[50, 70]","[[110, 190]]"
7,"[50, 70]","[[100, 190]]"
8,"[50, 70]","[[90, 190]]"
9,"[50, 70]","[[80, 190]]"
10,"[50, 70]","[[70, 190]]"
11,"[50, 70]","[[60, 190]]"
12,"[50, 70]","[[50, 190]]"
13,"[50, 70]","[[50, 180]]"
14,"[50, 70]","[[50, 170]]"
15,"[50, 70]","[[50, 160]]"
16,"[50, 70]","[[50, 150]]"
17,"[50, 70]","[[50, 140]]"
18,"[50, 70]","[[50, 130]]"
19,"[50, 70]","[[50, 120]]"
20,"[50, 70]","[[50, 110]]"
21,"[50, 70]","[[50, 100]]"
22,"[50, 70]","[[50, 90]]"
23,"[50, 70]","[[50, 80]]"
24,"[50, 70]","[[50, 70], [50, 80]]"
25,"[170, 130]","[[50, 60], [50, 70]]"
26,"[170, 130]","[[60, 60], [50, 60]]"
27,"[170, 130]","[[60, 70], [60, 60]]"
28,"[170, 130]","[[70, 70], [60, 70]]"
29,"[170, 130]","[[70, 80], [70, 70]]"
30,"[170, 130]","[[80, 80], [70, 80]]"
31,"[170, 130]","[[80, 90], [80, 80]]"
32,"[170, 130]","[[90, 90], [80, 90]]"
33,"[170, 130]","[[90, 100], [90, 90]]"
34,"[170, 130]","[[100, 100], [90, 100]]"
35,"[170, 130]","[[100, 110], [100, 100]]"
36,"[170, 130]","[[110, 110], [100, 110]]"
37,"[170, 130]","[[110, 120], [110, 110]]"
38,"[170, 130]","[[120, 120], [110, 120]]"
39,"[170, 130]","[[120, 130], [120, 120]]"
40,"[170, 130]","[[130, 130], [120, 130]]"
41,"[170, 130]","[[140, 130], [130, 130]]"
42,"[170, 130]","[[150, 130], [140, 130]]"
43,"[170, 130]","[[160, 130], [150, 130]]"
44,"[170, 130]","[[170, 130], [160, 130], [150, 130]]"
45,"[120, 170]","[[170, 120], [170, 130], [160, 130]]"
46,"[120, 170]","[[160, 120], [170, 120], [170, 130]]"
47,"[120, 170]","[[160, 130], [160, 120], [170, 120]]"
