0,"[20, 130]","[[30, 110]]"
1,"[20, 130]","[[110, 90]]"
2,"[20, 130]","[[100, 90]]"
3,"[20, 130]","[[90, 90]]"
4,"[20, 130]","[[80, 90]]"
5,"[20, 130]","[[70, 90]]"
6,"[20, 130]","[[60, 90]]"
7,"[20, 130]","[[50, 90]]"
8,"[20, 130]","[[40, 90]]"
9,"[20, 130]","[[30, 90]]"
10,"[20, 130]","[[20, 90]]"
11,"[20, 130]","[[20, 100]]"
12,"[20, 130]","[[20, 110]]"
13,"[20, 130]","[[20, 120]]"
14,"[20, 130]","[[20, 130], [20, 120]]"
15,"[190, 60]","[[20, 140], [20, 130]]"
16,"[190, 60]","[[30, 140], [20, 140]]"
17,"[190, 60]","[[30, 130], [30, 140]]"
18,"[190, 60]","[[40, 130], [30, 130]]"
19,"[190, 60]","[[40, 120], [40, 130]]"
20,"[190, 60]","[[50, 120], [40, 120]]"
21,"[190, 60]","[[60, 120], [50, 120]]"
22,"[190, 60]","[[60, 110], [60, 120]]"
23,"[190, 60]","[[70, 110], [60, 110]]"
24,"[190, 60]","[[80, 110], [70, 110]]"
25,"[190, 60]","[[90, 110], [80, 110]]"
26,"[190, 60]","[[100, 110], [90, 110]]"
27,"[190, 60]","[[110, 110], [100, 110]]"
28,"[190, 60]","[[120, 110], [110, 110]]"
29,"[190, 60]","[[130, 110], [120, 110]]"
30,"[190, 60]","[[130, 100], [130, 110]]"
31,"[190, 60]","[[140, 100], [130, 100]]"
32,"[190, 60]","[[150, 100], [140, 100]]"
33,"[190, 60]","[[150, 90], [150, 100]]"
34,"[190, 60]","[[160, 90], [150, 90]]"
35,"[190, 60]","[[160, 80], [160, 90]]"
36,"[190, 60]","[[170, 80], [160, 80]]"
37,"[190, 60]","[[170, 70], [170, 80]]"
38,"[190, 60]","[[180, 70], [170, 70]]"
39,"[190, 60]","[[180, 60], [180, 70]]"
40,"[190, 60]","[[190, 60], [180, 60], [180, 70]]"
41,"[20, 180]","[[200, 60], [190, 60], [180, 60]]"
42,"[20, 180]","[[200, 70], [200, 60], [190, 60]]"
43,"[20, 180]","[[190, 70], [200, 70], [200, 60]]"
44,"[20, 180]","[[180, 70], [190, 70], [200, 70]]"
45,"[20, 180]","[[170, 70], [180, 70], [190, 70]]"
46,"[20, 180]","[[160, 70], [170, 70], [180, 70]]"
47,"[20, 180]","[[150, 70], [160, 70], [170, 70]]"
48,"[20, 180]","[[140, 70], [150, 70], [160, 70]]"
49,"[20, 180]","[[130, 70], [140, 70], [150, 70]]"
50,"[20, 180]","[[120, 70], [130, 70], [140, 70]]"
51,"[20, 180]","[[110, 70], [120, 70], [130, 70]]"
52,"[20, 180]","[[100, 70], [110, 70], [120, 70]]"
53,"[20, 180]","[[90, 70], [100, 70], [110, 70]]"
54,"[20, 180]","[[80, 70], [90, 70], [100, 70]]"
55,"[20, 180]","[[80, 80], [80, 70], [90, 70]]"
56,"[20, 180]","[[70, 80], [80, 80], [80, 70]]"
57,"[20, 180]","[[70, 90], [70, 80], [80, 80]]"
58,"[20, 180]","[[60, 90], [70, 90], [70, 80]]"
59,"[20, 180]","[[60, 100], [60, 90], [70, 90]]"
60,"[20, 180]","[[50, 100], [60, 100], [60, 90]]"
61,"[20, 180]","[[50, 110], [50, 100], [60, 100]]"
62,"[20, 180]","[[40, 110], [50, 110], [50, 100]]"
63,"[20, 180]","[[40, 120], [40, 110], [50, 110]]"
64,"[20, 180]","[[30, 120], [40, 120], [40, 110]]"
65,"[20, 180]","[[30, 130], [30, 120], [40, 120]]"
66,"[20, 180]","[[30, 140], [30, 130], [30, 120]]"
67,"[20, 180]","[[30, 150], [30, 140], [30, 130]]"
68,"[20, 180]","[[30, 160], [30, 150], [30, 140]]"
69,"[20, 180]","[[30, 170], [30, 160], [30, 150]]"
70,"[20, 180]","[[20, 170], [30, 170], [30, 160]]"
71,"[20, 180]","[[20, 180], [20, 170], [30, 170], [30, 160]]"
72,"[150, 120]","[[20, 190], [20, 180], [20, 170], [30, 170]]"
73,"[150, 120]","[[30, 190], [20, 190], [20, 180], [20, 170]]"
74,"[150, 120]","[[30, 180], [30, 190], [20, 190], [20, 180]]"
75,"[150, 120]","[[40, 180], [30, 180], [30, 190], [20, 190]]"
76,"[150, 120]","[[40, 170], [40, 180], [30, 180], [30, 190]]"
77,"[150, 120]","[[50, 170], [40, 170], [40, 180], [30, 180]]"
78,"[150, 120]","[[50, 160], [50, 170], [40, 170], [40, 180]]"
79,"[150, 120]","[[60, 160], [50, 160], [50, 170], [40, 170]]"
80,"[150, 120]","[[60, 150], [60, 160], [50, 160], [50, 170]]"
81,"[150, 120]","[[70, 150], [60, 150], [60, 160], [50, 160]]"
82,"[150, 120]","[[70, 140], [70, 150], [60, 150], [60, 160]]"
83,"[150, 120]","[[80, 140], [70, 140], [70, 150], [60, 150]]"
84,"[150, 120]","[[90, 140], [80, 140], [70, 140], [70, 150]]"
85,"[150, 120]","[[100, 140], [90, 140], [80, 140], [70, 140]]"
86,"[150, 120]","[[110, 140], [100, 140], [90, 140], [80, 140]]"
87,"[150, 120]","[[120, 140], [110, 140], [100, 140], [90, 140]]"
88,"[150, 120]","[[130, 140], [120, 140], [110, 140], [100, 140]]"
89,"[150, 120]","[[130, 130], [130, 140], [120, 140], [110, 140]]"
90,"[150, 120]","[[140, 130], [130, 130], [130, 140], [120, 140]]"
91,"[150, 120]","[[140, 120], [140, 130], [130, 130], [130, 140]]"
92,"[150, 120]","[[150, 120], [140, 120], [140, 130], [130, 130], [130, 140]]"
93,"[140, 200]","[[160, 120], [150, 120], [140, 120], [140, 130], [130, 130]]"
94,"[140, 200]","[[160, 130], [160, 120], [150, 120], [140, 120], [140, 130]]"
95,"[140, 200]","[[150, 130], [160, 130], [160, 120], [150, 120], [140, 120]]"
96,"[140, 200]","[[150, 140], [150, 130], [160, 130], [160, 120], [150, 120]]"
97,"[140, 200]","[[150, 150], [150, 140], [150, 130], [160, 130], [160, 120]]"
98,"[140, 200]","[[150, 160], [150, 150], [150, 140], [150, 130], [160, 130]]"
99,"[140, 200]","[[150, 170], [150, 160], [150, 150], [150, 140], [150, 130]]"
100,"[140, 200]","[[150, 180], [150, 170], [150, 160], [150, 150], [150, 140]]"
101,"[140, 200]","[[150, 190], [150, 180], [150, 170], [150, 160], [150, 150]]"
102,"[140, 200]","[[140, 190], [150, 190], [150, 180], [150, 170], [150, 160]]"
103,"[140, 200]","[[140, 200], [140, 190], [150, 190], [150, 180], [150, 170], [150, 160]]"
104,"[130, 110]","[[150, 200], [140, 200], [140, 190], [150, 190], [150, 180], [150, 170]]"
105,"[130, 110]","[[160, 200], [150, 200], [140, 200], [140, 190], [150, 190], [150, 180]]"
106,"[130, 110]","[[160, 190], [160, 200], [150, 200], [140, 200], [140, 190], [150, 190]]"
107,"[130, 110]","[[160, 180], [160, 190], [160, 200], [150, 200], [140, 200], [140, 190]]"
108,"[130, 110]","[[160, 170], [160, 180], [160, 190], [160, 200], [150, 200], [140, 200]]"
109,"[130, 110]","[[160, 160], [160, 170], [160, 180], [160, 190], [160, 200], [150, 200]]"
110,"[130, 110]","[[160, 150], [160, 160], [160, 170], [160, 180], [160, 190], [160, 200]]"
111,"[130, 110]","[[150, 150], [160, 150], [160, 160], [160, 170], [160, 180], [160, 190]]"
112,"[130, 110]","[[150, 140], [150, 150], [160, 150], [160, 160], [160, 170], [160, 180]]"
113,"[130, 110]","[[150, 130], [150, 140], [150, 150], [160, 150], [160, 160], [160, 170]]"
114,"[130, 110]","[[140, 130], [150, 130], [150, 140], [150, 150], [160, 150], [160, 160]]"
115,"[130, 110]","[[140, 120], [140, 130], [150, 130], [150, 140], [150, 150], [160, 150]]"
116,"[130, 110]","[[140, 110], [140, 120], [140, 130], [150, 130], [150, 140], [150, 150]]"
117,"[130, 110]","[[130, 110], [140, 110], [140, 120], [140, 130], [150, 130], [150, 140], [150, 150]]"
118,"[130, 130]","[[130, 100], [130, 110], [140, 110], [140, 120], [140, 130], [150, 130], [150, 140]]"
119,"[130, 130]","[[120, 100], [130, 100], [130, 110], [140, 110], [140, 120], [140, 130], [150, 130]]"
120,"[130, 130]","[[120, 110], [120, 100], [130, 100], [130, 110], [140, 110], [140, 120], [140, 130]]"
121,"[130, 130]","[[120, 120], [120, 110], [120, 100], [130, 100], [130, 110], [140, 110], [140, 120]]"
122,"[130, 130]","[[130, 120], [120, 120], [120, 110], [120, 100], [130, 100], [130, 110], [140, 110]]"
123,"[130, 130]","[[130, 130], [130, 120], [120, 120], [120, 110], [120, 100], [130, 100], [130, 110], [140, 110]]"
124,"[150, 120]","[[130, 140], [130, 130], [130, 120], [120, 120], [120, 110], [120, 100], [130, 100], [130, 110]]"
125,"[150, 120]","[[140, 140], [130, 140], [130, 130], [130, 120], [120, 120], [120, 110], [120, 100], [130, 100]]"
126,"[150, 120]","[[140, 130], [140, 140], [130, 140], [130, 130], [130, 120], [120, 120], [120, 110], [120, 100]]"
127,"[150, 120]","[[150, 130], [140, 130], [140, 140], [130, 140], [130, 130], [130, 120], [120, 120], [120, 110]]"
128,"[150, 120]","[[150, 120], [150, 130], [140, 130], [140, 140], [130, 140], [130, 130], [130, 120], [120, 120], [120, 110]]"
129,"[200, 100]","[[140, 120], [150, 120], [150, 130], [140, 130], [140, 140], [130, 140], [130, 130], [130, 120], [120, 120]]"
130,"[200, 100]","[[140, 110], [140, 120], [150, 120], [150, 130], [140, 130], [140, 140], [130, 140], [130, 130], [130, 120]]"
131,"[200, 100]","[[150, 110], [140, 110], [140, 120], [150, 120], [150, 130], [140, 130], [140, 140], [130, 140], [130, 130]]"
